chu,pinyin,pinyin_go,thanh,han_viet,nghia,nghia_khac,bo_thu,nhieu,chu_de,cap,vi_du,vi_du_nghia,dong_nghia,trai_nghia,so_net,ngu_hanh,thang_goc,thang_bac,tan_suat
木,mù,mu,4,mộc,cây,gỗ|thân cây,,本|末|禾|米,rung,1,这是木头。,Đây là gỗ.,,,4,木,木,1,1
林,lín,lin,2,lâm,rừng,rừng cây,木|木,森|材|梦|禁,rung,1,树林很大。,Rừng cây rất lớn.,,,8,木,木,2,3
森,sēn,sen,1,sâm,rừng rậm,rừng già|rừng sâu,木|木|木,林|禁|梦|棘,rung,2,森林很黑。,Rừng rậm rất tối.,,,12,木,木,3,4
山,shān,shan,1,sơn,núi,ngọn núi,,出|岁|岛|峰,rung,1,山很高。,Núi rất cao.,,,3,土,,,1
水,shuǐ,shui,3,thủy,nước,,,永|冰|求|氷,rung,1,我喝水。,Tôi uống nước.,,火,4,水,水,1,1
火,huǒ,huo,3,hỏa,lửa,ngọn lửa,,灭|灰|炎|太,rung,1,火很热。,Lửa rất nóng.,,水,4,火,火,1,1
土,tǔ,tu,3,thổ,đất,đất đai,,士|干|王|工,rung,1,土是黑的。,Đất màu đen.,,,3,土,土,1,1
石,shí,shi,2,thạch,đá,hòn đá|tảng đá,,右|古|占|后,rung,1,这是石头。,Đây là hòn đá.,,,5,土,石,1,2
田,tián,tian,2,điền,ruộng,cánh đồng|đồng ruộng,,由|甲|申|电,rung,1,田很大。,Ruộng rất lớn.,,,5,土,,,2
花,huā,hua,1,hoa,hoa,bông hoa,艹|化,草|茶|苦|荷,rung,1,花很美。,Hoa rất đẹp.,,,,木,,,2
草,cǎo,cao,3,thảo,cỏ,bãi cỏ,艹|早,花|茶|苗|苦,rung,1,草是绿的。,Cỏ màu xanh.,,,,木,,,2
竹,zhú,zhu,2,trúc,tre,cây tre|trúc,,林|笑|第|竿,rung,2,竹子很高。,Cây tre rất cao.,,,,木,,,
日,rì,ri,4,nhật,mặt trời,ngày|mặt trời,,曰|白|目|旦,rung,1,日出很美。,Bình minh rất đẹp.,,,4,火,日,1,1
月,yuè,yue,4,nguyệt,mặt trăng,trăng|tháng,,肉|用|舟|朋,rung,1,月亮很圆。,Trăng rất tròn.,,,4,,,,1
明,míng,ming,2,minh,sáng,sáng sủa|tươi sáng|rõ ràng,日|月,朋|昨|胡|昌,rung,2,房间很明亮。,Căn phòng rất sáng sủa.,,,,火,,,2
星,xīng,xing,1,tinh,ngôi sao,sao,日|生,里|昌|早|春,rung,2,星光很美。,Ánh sao rất đẹp.,,,,火,,,
天,tiān,tian,1,thiên,trời,bầu trời|ngày,,夫|大|太|夭,rung,1,天很蓝。,Trời rất xanh.,,,4,,,,1
雨,yǔ,yu,3,vũ,mưa,cơn mưa,,雪|雷|电|需,rung,1,下雨了。,Mưa rồi.,,,8,水,,,2
光,guāng,guang,1,quang,ánh sáng,tia sáng,,先|当|尖|党,rung,2,阳光很强。,Ánh nắng rất mạnh.,,,,火,,,2
生,shēng,sheng,1,sinh,sinh ra,sống|sinh|nảy sinh,,牛|先|升|生,rung,2,生活很好。,Cuộc sống rất tốt.,,,,,,,
人,rén,ren,2,nhân,người,con người,,入|八|大|个,nguoi,1,他是好人。,Anh ấy là người tốt.,,,2,,人,1,1
女,nǚ,nv,3,nữ,nữ,phụ nữ|con gái,,安|好|如|妇,nguoi,1,她是女人。,Cô ấy là phụ nữ.,,男,,,,,1
子,zǐ,zi,3,tử,con,đứa con|con cái,,了|孔|字|孑,nguoi,1,这是我的孩子。,Đây là con tôi.,,,,,,,1
好,hǎo,hao,3,hảo,tốt,hay|tốt đẹp|giỏi,女|子,如|妇|她|奶,nguoi,1,你很好。,Bạn rất tốt.,,,,,,,1
男,nán,nan,2,nam,nam,đàn ông|con trai,田|力,界|畏|甲|勇,nguoi,1,他是男人。,Anh ấy là đàn ông.,,女,,,,,
大,dà,da,4,đại,to,lớn|to lớn,,太|天|犬|夫,nguoi,1,山很大。,Núi rất to.,,小,3,,,,1
小,xiǎo,xiao,3,tiểu,nhỏ,bé|nhỏ bé,,少|尔|水|木,nguoi,1,花很小。,Hoa rất nhỏ.,,大,3,,,,1
口,kǒu,kou,3,khẩu,miệng,mồm|cửa,,日|回|中|品,nguoi,1,门口有人。,Ở cửa có người.,,,3,,口,1,1
目,mù,mu,4,mục,mắt,con mắt,,日|且|自|见,nguoi,1,这道题目很难。,Câu hỏi này rất khó.,,,,,,,
手,shǒu,shou,3,thủ,tay,bàn tay,,毛|开|升|扌,nguoi,1,我的手很小。,Tay tôi rất nhỏ.,,,4,,,,1
心,xīn,xin,1,tâm,tim,trái tim|lòng|tâm,,必|忘|忙|思,nguoi,2,他的心很好。,Lòng anh ấy rất tốt.,,,4,,,,1
力,lì,li,4,lực,sức,sức lực|sức mạnh,,刀|办|万|加,nguoi,2,他很有力气。,Anh ấy rất khỏe.,,,2,,,,1
白,bái,bai,2,bạch,trắng,màu trắng,,日|百|自|的,mau,1,花是白的。,Hoa màu trắng.,,黑,,,,,
上,shàng,shang,4,thượng,trên,phía trên|lên,,下|止|土|卡,phuong,1,他在山上。,Anh ấy ở trên núi.,,下,3,,,,1
下,xià,xia,4,hạ,dưới,phía dưới|xuống,,上|卡|不|丁,phuong,1,水在下面。,Nước ở phía dưới.,,上,3,,,,1
中,zhōng,zhong,1,trung,giữa,ở giữa|trong,,口|申|串|电,phuong,1,我在中间。,Tôi ở giữa.,,,4,,,,1
牛,niú,niu,2,ngưu,con bò,bò|trâu,,午|生|失|半,thu,1,牛在田里。,Bò ở ngoài ruộng.,,,,,,,
羊,yáng,yang,2,dương,con dê,dê|cừu,,美|洋|半|王,thu,1,羊吃草。,Dê ăn cỏ.,,,,,,,
